dataset,model,metric,mean,std,min,max,n
mixtures,openai,BLEU-4,0.31432248517430483,0.0581333838520221,0.24208756157263367,0.42164808391738773,10
mixtures,openai,chrF++,0.5342981691646248,0.03465140263588569,0.4968145842425597,0.6182622761249436,10
mixtures,openai,METEOR,0.4643593608258211,0.05076611082827008,0.36544385027931525,0.5474211725145438,10
mixtures,openai,ROUGE-L,0.509231318544536,0.05004473008833501,0.45569620253164556,0.6209523809523808,10
mixtures,openai,BERTScore,0.9101132690906525,0.011084824146993197,0.8959963321685791,0.9308294057846069,10
mixtures,openai,COMET,0.7990404367446899,0.01847328786357606,0.7652938365936279,0.8284248113632202,10
mixtures,claude,BLEU-4,0.3419757689970717,0.05869527392731121,0.2442006325356828,0.45720892160390597,10
mixtures,claude,chrF++,0.5536234979894866,0.032300456562486056,0.5079508194217557,0.6243511200058942,10
mixtures,claude,METEOR,0.4845862517656195,0.03204530819929453,0.43089628275496095,0.5578790705961099,10
mixtures,claude,ROUGE-L,0.5532174763466073,0.05333819324471596,0.499108734402852,0.6744639376218323,10
mixtures,claude,BERTScore,0.9159475684165954,0.008863939886192397,0.9023823142051697,0.9326525330543518,10
mixtures,claude,COMET,0.7976282238960266,0.01954446106940936,0.7722128629684448,0.8297576904296875,10
mixtures,gemini,BLEU-4,0.34207025873751723,0.04736053041002051,0.2852461880146896,0.4281693964039958,10
mixtures,gemini,chrF++,0.5702366905089117,0.026823092302884367,0.5415504153168635,0.6318697530082567,10
mixtures,gemini,METEOR,0.4999037586587364,0.03734975029571381,0.4470516353256441,0.5497407283548726,10
mixtures,gemini,ROUGE-L,0.559687755951872,0.046460634931272976,0.5051546391752577,0.6703910614525139,10
mixtures,gemini,BERTScore,0.9153633415699005,0.009594601033305266,0.9030233025550842,0.9338334202766418,10
mixtures,gemini,COMET,0.8066198945045471,0.01681122034048312,0.7760371565818787,0.8323825001716614,10
comp,openai,BLEU-4,0.15688381879774763,0.05070996103132175,0.06440878992358741,0.21907664922260298,10
comp,openai,chrF++,0.4739910829687295,0.04968857062212691,0.3644069911923623,0.5492458508018273,10
comp,openai,METEOR,0.40080428196463824,0.06437658091418112,0.2918646737717397,0.5250895189881383,10
comp,openai,ROUGE-L,0.45748333123415624,0.0587683734385289,0.3350083752093802,0.5656565656565656,10
comp,openai,BERTScore,0.8908190608024598,0.020148984519950418,0.8502401113510132,0.907642662525177,10
comp,openai,COMET,0.7508037745952606,0.03772181365859338,0.6459131836891174,0.7800271511077881,10
comp,claude,BLEU-4,0.1666258519222617,0.04511723699648176,0.0664204074575298,0.2476742109744587,10
comp,claude,chrF++,0.4937538516738762,0.02312491697110471,0.45832770417961366,0.5236371770720206,10
comp,claude,METEOR,0.4293420004885749,0.041652546561521536,0.3130535772940369,0.471509141214257,10
comp,claude,ROUGE-L,0.4779143373114881,0.025799848413025957,0.4285714285714286,0.5249597423510466,10
comp,claude,BERTScore,0.8965267181396485,0.01510196666457812,0.8670253157615662,0.911521852016449,10
comp,claude,COMET,0.7652908325195312,0.021836953392127368,0.7247991561889648,0.7986054420471191,10
comp,gemini,BLEU-4,0.19001024077930367,0.03758935555204627,0.13928677567854714,0.2635547498267358,10
comp,gemini,chrF++,0.5120935061883001,0.029173677313418144,0.46879528523624864,0.5481053938281162,10
comp,gemini,METEOR,0.4442067394942456,0.0448078997501072,0.3821083099404266,0.5294155515431971,10
comp,gemini,ROUGE-L,0.4783129255776709,0.03660468276705063,0.41531664212076586,0.5480314960629921,10
comp,gemini,BERTScore,0.8987667202949524,0.012623283589445644,0.8720569610595703,0.9129371047019958,10
comp,gemini,COMET,0.7728279292583465,0.021861650592470312,0.728967010974884,0.8013620972633362,10
