chunk_id,model,BLEU-4,chrF++,METEOR,ROUGE-L,BERTScore,COMET
1,claude,0.2476742109744587,0.5236371770720206,0.44769341722186473,0.4991568296795953,0.911521852016449,0.7932829856872559
1,gemini,0.19964744537403875,0.5200971424684653,0.4101879957559506,0.46688741721854304,0.9099530577659607,0.8013620972633362
1,openai,0.19277917567517774,0.48702060033290556,0.39274172399590207,0.4436619718309859,0.905492901802063,0.7796459197998047
2,claude,0.19378411197796733,0.5143907036943031,0.471509141214257,0.5249597423510466,0.9042202234268188,0.7853946685791016
2,gemini,0.2635547498267358,0.5426767379691348,0.5150520137437234,0.5480314960629921,0.9129371047019958,0.7977873086929321
2,openai,0.21644446025467856,0.49571447658774753,0.4638315954936669,0.48756218905472637,0.8955069184303284,0.7584257125854492
3,claude,0.16223459030305026,0.4879393321557145,0.42101259391796997,0.4605873261205564,0.8981204628944397,0.7579604387283325
3,gemini,0.14927223345165516,0.48337416996644433,0.4185250155837729,0.4702380952380953,0.8920734524726868,0.728967010974884
3,openai,0.10896267710952853,0.46285999706223924,0.39018979003626075,0.4444444444444445,0.8917509317398071,0.7520345449447632
4,claude,0.17220086021721712,0.5205823460504878,0.43917315266126566,0.46901172529313234,0.9096811413764954,0.7564950585365295
4,gemini,0.23204877486452766,0.5369522584256763,0.46655711466184185,0.48475120385232745,0.909728467464447,0.7662883400917053
4,openai,0.21907664922260298,0.5110002682813551,0.42716726736041866,0.4797297297297297,0.907642662525177,0.7529981136322021
5,claude,0.16839661564390832,0.4895795463133073,0.4267687762529327,0.4285714285714286,0.9044652581214905,0.770469069480896
5,gemini,0.14853636516411808,0.4730720262674864,0.4141536364993774,0.41531664212076586,0.8996868133544922,0.777133584022522
5,openai,0.16893976232299568,0.5001152359743738,0.40795843893882144,0.4386503067484662,0.9002916812896729,0.7724477052688599
6,claude,0.13763785741532106,0.47308298218695444,0.43704869554751224,0.46307385229540915,0.905235230922699,0.7670793533325195
6,gemini,0.21397078801718533,0.5090970038484105,0.4533430225793838,0.4790874524714829,0.911162257194519,0.7868227958679199
6,openai,0.090836297675734,0.45030424604383784,0.4223897435097739,0.39920159680638717,0.9016697406768799,0.7571812868118286
7,claude,0.18757434563734585,0.5212077195583464,0.4655925303426889,0.5053763440860215,0.9004546999931335,0.7986054420471191
7,gemini,0.13928677567854714,0.49428891744700093,0.4254136130955994,0.467005076142132,0.8898624181747437,0.7872167825698853
7,openai,0.1762396808645856,0.499782691511436,0.37639897488492907,0.4990825688073395,0.8974189162254333,0.7800271511077881
8,claude,0.19407465575094068,0.46838632230519067,0.44220123826012486,0.46481178396072015,0.8683067560195923,0.7403029799461365
8,gemini,0.18049979848632128,0.46879528523624864,0.42731112153918355,0.44207317073170727,0.8720569610595703,0.7474030256271362
8,openai,0.06440878992358741,0.3644069911923623,0.31041109266673184,0.3350083752093802,0.8529567718505859,0.7330279350280762
9,claude,0.1362608638448779,0.4804046832228235,0.4293668821730962,0.4826254826254826,0.8962362408638,0.758519172668457
9,gemini,0.19715258254319892,0.5444761264260165,0.5294155515431971,0.5320754716981132,0.9031203389167786,0.7789208889007568
9,openai,0.18934175570690065,0.5492458508018273,0.5250895189881383,0.4818355640535373,0.9052199721336365,0.7763361930847168
10,claude,0.0664204074575298,0.45832770417961366,0.3130535772940369,0.48096885813148793,0.8670253157615662,0.7247991561889648
10,gemini,0.17613289438670832,0.5481053938281162,0.3821083099404266,0.47766323024054985,0.8870863318443298,0.7563774585723877
10,openai,0.1418089392216853,0.41946047189921015,0.2918646737717397,0.5656565656565656,0.8502401113510132,0.6459131836891174
